code,system
C108G00,readv2
C108800,readv2
C109G00,readv2
C100011,readv2
C100112,readv2
C109D00,readv2
C109500,readv2
C108E00,readv2
C108600,readv2
C10E.12,readv2
C10FJ00,readv2
66AV.00,readv2
C109400,readv2
C109900,readv2
C108400,readv2
C109.00,readv2
C109J11,readv2
C10E412,readv2
C10E812,readv2
C108500,readv2
C109300,readv2
C108.00,readv2
66A5.00,readv2
C10FJ11,readv2
C109J00,readv2
C109700,readv2
C109J12,readv2
C108.11,readv2
E10.9,readv2
E11.9,readv2
E10.0,readv2
E10.1,readv2
E11.0,readv2
E11.1,readv2
C10yz00,readv2
C10y100,readv2
C10y.00,readv2
C10FF00,readv2
G73y000,readv2
C109F12,readv2
C109F11,readv2
C10EG00,readv2
C108.12,readv2
C109.12,readv2
C10F.00,readv2
C10M.00,readv2
C10E.11,readv2
C10F.11,readv2
C109.13,readv2
C10..00,readv2
C10D.00,readv2
Cyu2.00,readv2
1434.00,readv2
C10E.00,readv2
C108.13,readv2
C102z00,readv2
C102100,readv2
C102.00,readv2
C109K00,readv2
C107.00,readv2
C107z00,readv2
C107100,readv2
C109412,readv2
C10F400,readv2
C10E500,readv2
C108511,readv2
C109411,readv2
C10FG00,readv2
C109G12,readv2
C109G11,readv2
C103.00,readv2
C10EN00,readv2
C10FP00,readv2
C103z00,readv2
C10EN11,readv2
L180X00,readv2
L180600,readv2
L180500,readv2
C10EM00,readv2
C10EM11,readv2
C101z00,readv2
C10FN00,readv2
C101.00,readv2
C10EK00,readv2
C10FL11,readv2
C10FL00,readv2
C108E11,readv2
C109D12,readv2
C108E12,readv2
C10FD00,readv2
C109D11,readv2
C10EE00,readv2
C108911,readv2
C10E900,readv2
C100111,readv2
C10D.11,readv2
C10E600,readv2
C10F500,readv2
C107.11,readv2
C109511,readv2
C108812,readv2
C10F700,readv2
C109712,readv2
66AJ.00,readv2
66AI.00,readv2
C109711,readv2
66AJz00,readv2
C10F711,readv2
C108811,readv2
C10E800,readv2
C101y00,readv2
C10zy00,readv2
C10yy00,readv2
C10zz00,readv2
Cyu2000,readv2
C103y00,readv2
C10z.00,readv2
C10z100,readv2
C101100,readv2
C107200,readv2
66AK.00,readv2
8BL2.00,readv2
66AS.00,readv2
8H2J.00,readv2
8A13.00,readv2
C10FM00,readv2
C10EL00,readv2
C10N.00,readv2
C10G.00,readv2
C100z00,readv2
C100000,readv2
C100100,readv2
C100.00,readv2
C101000,readv2
C103000,readv2
C102000,readv2
C107000,readv2
C108411,readv2
C10E400,readv2
66AJ.11,readv2
C10A100,readv2
C10A000,readv2
C10A.00,readv2
C10H.00,readv2
C10B000,readv2
C10EA00,readv2
C10F900,readv2
C109.11,readv2
C107300,readv2
C107400,readv2
